date,account,team,environment,service,cost_center,cost_usd
2026-08-01,prod,platform,prod,EC2,PLAT-001,42.50
2026-08-01,prod,platform,prod,RDS,PLAT-001,28.20
2026-08-01,prod,checkout,prod,EC2,APP-010,31.40
2026-08-01,prod,checkout,prod,S3,APP-010,6.10
2026-08-02,prod,platform,prod,EC2,PLAT-001,43.10
2026-08-02,prod,platform,prod,RDS,PLAT-001,28.40
2026-08-02,prod,checkout,prod,EC2,APP-010,32.10
2026-08-02,prod,checkout,prod,S3,APP-010,6.20
2026-08-03,prod,platform,prod,EC2,PLAT-001,44.00
2026-08-03,prod,platform,prod,RDS,PLAT-001,28.60
2026-08-03,prod,checkout,prod,EC2,APP-010,31.90
2026-08-03,prod,checkout,prod,S3,APP-010,6.30
2026-08-04,prod,platform,prod,EC2,PLAT-001,44.20
2026-08-04,prod,platform,prod,RDS,PLAT-001,29.00
2026-08-04,prod,checkout,prod,EC2,APP-010,32.20
2026-08-04,prod,checkout,prod,S3,APP-010,6.40
2026-08-05,prod,platform,prod,EC2,PLAT-001,120.00
2026-08-05,prod,platform,prod,RDS,PLAT-001,29.20
2026-08-05,prod,checkout,prod,EC2,APP-010,33.10
2026-08-05,prod,checkout,prod,S3,APP-010,6.50
